program_id,program,degrees,url,campus,area_key,area,matched_by,tuition_domestic,tuition_international,student_fees,lab_clinic_fees_domestic,lab_clinic_fees_international,books_supplies,educational_total_domestic,educational_total_international,custom_tuition_message
144977,Bachelor + Master of Management Dual Degree,"[""Bachelor of Arts"", ""Bachelor of Fine Arts"", ""Bachelor of Kinesiology"", ""Bachelor of Media Studies"", ""Bachelor of Music"", ""Bachelor of Science"", ""Bachelor of Science in Applied Biology"", ""Bachelor of Science in Food and Resource Economics"", ""Bachelor of Science in Food, Nutrition, and Health"", ""Bachelor of Science in Global Resource Systems"", ""Bachelor of Science in Wood Products Processing"", ""Master of Management""]",https://you.ubc.ca/programs/master-management-dual-degree/,vancouver,arts,Arts,exact:degree,6201,51530,1380,0,0,2200,9781,55110,
571,Biochemistry,"[""Bachelor of Science""]",https://you.ubc.ca/programs/biochemistry/,vancouver,science,Science,exact:degree,6201,53082,1358,0,0,1540,9099,55980,
560275,Bioeconomy Sciences and Technology,"[""Bachelor of Science in Natural Resources""]",https://you.ubc.ca/programs/bioeconomy-sciences-technology/,vancouver,forestry_natural_resources,Forestry: Natural Resources,overlap:degree,6201,53082,1375,0,0,1500,9076,55957,
575,Biology,"[""Bachelor of Science""]",https://you.ubc.ca/programs/biology-vancouver/,vancouver,science,Science,exact:degree,6201,53082,1358,0,0,1540,9099,55980,
560541,Biomedical Engineering,"[""Bachelor of Applied Science (Engineering)""]",https://you.ubc.ca/programs/biomedical-engineering/,vancouver,applied_science,Applied Science (Engineering),exact:degree,7648,66200,1513.25,0,0,800,9961.25,68513.25,
577,Biophysics,"[""Bachelor of Science""]",https://you.ubc.ca/programs/biophysics/,vancouver,science,Science,exact:degree,6201,53082,1358,0,0,1540,9099,55980,
579,Biotechnology,"[""Bachelor of Science""]",https://you.ubc.ca/programs/biotechnology/,vancouver,science,Science,exact:degree,6201,53082,1358,0,0,1540,9099,55980,
581,Business and Computer Science,"[""Bachelor of Commerce""]",https://you.ubc.ca/programs/business-computer-science/,vancouver,commerce,Commerce (Sauder School of Business),exact:degree,6201,66678,1663,0,0,1700,9564,70041,
570973,Business and Markets,"[""Bachelor of Science in Food and Resource Economics""]",https://you.ubc.ca/programs/business-and-markets/,vancouver,land_food_systems_food_resource_economics,Land and Food Systems: Food and Resource Economics,overlap:degree,6614,56621,1366,0,0,2000,9980,59987,
589,Canadian Studies,"[""Bachelor of Arts""]",https://you.ubc.ca/programs/canadian-studies/,vancouver,arts,Arts,exact:degree,6201,51530,1380,0,0,2200,9781,55110,
945,"Cellular, Anatomical, and Physiological Sciences","[""Bachelor of Science""]",https://you.ubc.ca/programs/cellular-anatomical-physiological-sciences/,vancouver,science,Science,exact:degree,6201,53082,1358,0,0,1540,9099,55980,
593,Chemical and Biological Engineering,"[""Bachelor of Applied Science (Engineering)""]",https://you.ubc.ca/programs/chemical-biological-engineering/,vancouver,applied_science,Applied Science (Engineering),exact:degree,7648,66200,1513.25,0,0,800,9961.25,68513.25,
83801,Chemical Engineering,"[""Bachelor of Applied Science (Engineering)""]",https://you.ubc.ca/programs/chemical-engineering/,vancouver,applied_science,Applied Science (Engineering),exact:degree,7648,66200,1513.25,0,0,800,9961.25,68513.25,
597,Chemistry,"[""Bachelor of Science""]",https://you.ubc.ca/programs/chemistry-vancouver/,vancouver,science,Science,exact:degree,6201,53082,1358,0,0,1540,9099,55980,
693,Cinema Studies,"[""Bachelor of Arts""]",https://you.ubc.ca/programs/cinema-studies/,vancouver,arts,Arts,exact:degree,6201,51530,1380,0,0,2200,9781,55110,
601,Civil Engineering,"[""Bachelor of Applied Science (Engineering)""]",https://you.ubc.ca/programs/civil-engineering-vancouver/,vancouver,applied_science,Applied Science (Engineering),exact:degree,7648,66200,1513.25,0,0,800,9961.25,68513.25,
607,Cognitive Systems (BA),"[""Bachelor of Arts""]",https://you.ubc.ca/programs/cognitive-systems-ba/,vancouver,arts,Arts,exact:degree,6201,51530,1380,0,0,2200,9781,55110,
609,Cognitive Systems (BSc),"[""Bachelor of Science""]",https://you.ubc.ca/programs/cognitive-systems-bsc/,vancouver,science,Science,exact:degree,6201,53082,1358,0,0,1540,9099,55980,
979,Combined Major in Science,"[""Bachelor of Science""]",https://you.ubc.ca/programs/science-combined-major/,vancouver,science,Science,exact:degree,6201,53082,1358,0,0,1540,9099,55980,
161502,Combined Majors in Statistics,"[""Bachelor of Arts"", ""Bachelor of Science""]",https://you.ubc.ca/programs/statistics-combined-majors/,vancouver,arts,Arts,exact:degree,6201,51530,1380,0,0,2200,9781,55110,
551378,Commerce,"[""Bachelor of Commerce""]",https://you.ubc.ca/programs/commerce/,vancouver,commerce,Commerce (Sauder School of Business),exact:title,6201,66678,1663,0,0,1700,9564,70041,
615,Computer Engineering,"[""Bachelor of Applied Science (Engineering)""]",https://you.ubc.ca/programs/computer-engineering/,vancouver,applied_science,Applied Science (Engineering),exact:degree,7648,66200,1513.25,0,0,800,9961.25,68513.25,
621,Computer Science (BA),"[""Bachelor of Arts""]",https://you.ubc.ca/programs/computer-science-vancouver-ba/,vancouver,arts,Arts,exact:degree,6201,51530,1380,0,0,2200,9781,55110,
623,Computer Science (BSc),"[""Bachelor of Science""]",https://you.ubc.ca/programs/computer-science-vancouver-bsc/,vancouver,computer_science,Computer Science (BSC),exact:title,6201,53082,1358,0,0,2500,10059,56940,
905,Conservation,"[""Bachelor of Science in Natural Resources""]",https://you.ubc.ca/programs/conservation/,vancouver,forestry_natural_resources,Forestry: Natural Resources,overlap:degree,6201,53082,1375,0,0,1500,9076,55957,
629,Creative Writing,"[""Bachelor of Fine Arts""]",https://you.ubc.ca/programs/creative-writing-vancouver/,vancouver,fine_arts,Fine Arts,exact:degree,6201,51530,1380,0,0,1800,9381,54710,
