campus,level,page,url,section,context,table_label,kind,note
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,note,ISCI_V 461 (optional field trip) variable
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,note,"LARC_V 511 (accommodation, instruction, administration, transportation, meals) variable"
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,note,SCIE_V 001 variable
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,note,WOOD_V 305 (Wood Machine Skills) variable
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,note,WOOD_V 353 (mill site visits) variable
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,divider,Course Material Fee
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,note,"1 UBC undergraduate students who are on a Co-op work term must register for the appropriate Co-op course and pay the Co-op course fee per work term, plus student fees for the Winter Session. In addition, students will be assessed the transit U-Pass fee and the AMS Extended Health and Dental Plan. For Arts Co-op, the Co-op course fee is split 50/50 between a search term course and a work term course where there is a search term course that precedes the work term course. Work term courses that are extensions from a previous work term course are assessed the full Co-op course fee. See ARTC_V course descriptions."
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,note,"2 Departments may require students performing coursework in environments where the risk of injury is greater than in a classroom, (e.g., laboratories, field work, clinical practice, practicums, etc.), to purchase Student Accident Insurance. See the UBC Risk Management Services for more information."
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,note,3 Applies to select courses only. See department for list of courses to which the fee applies.
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Faculty Fees,"[""Arts""]",Arts,divider,Applied Science
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Faculty Fees,"[""Arts""]",Arts,divider,Dentistry
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Faculty Fees,"[""Arts""]",Arts,note,"The following fees apply for the Doctor of Dental Medicine, Combined Master of Science in Craniofacial Science/Diploma in Endodontics, Orthodontics, Periodontics, Prosthodontics, and Year 1 only for Pediatric Dentistry, the Combined Doctor of Philosophy in Craniofacial Science/Diploma in Endodontics, Orthodontics, Periodontics, Prosthodontics, and Year 1 only for Pediatric Dentistry:"
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Faculty Fees,"[""Arts""]",Arts,note,The following fees apply for the Combined Master of Science in Craniofacial Science/Diploma in Pediatric Dentistry after Year 1 and the Combined Doctor of Philosophy in Craniofacial Science/Diploma in Pediatric Dentistry after Year 1:
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Faculty Fees,"[""Arts""]",Arts,divider,Education
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Faculty Fees,"[""Arts""]",Arts,note,Verification letter to be sent to a Canadian certification authority outside of BC:
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Faculty Fees,"[""Arts""]",Arts,divider,Verification letter to be sent to a certification authority outside Canada:
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Faculty Fees,"[""Arts""]",Arts,divider,Land and Food Systems
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Faculty Fees,"[""Arts""]",Arts,divider,Medicine
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Faculty Fees,"[""Arts""]",Arts,divider,Pharmaceutical Sciences
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Faculty Fees,"[""Arts""]",Arts,note,"1 This fee is assessed for all students registered in the B.A.Sc. program upon entry into each year of the program. An Advisory Committee, which includes faculty members and students, will make recommendations on the allocation of the funds."
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Faculty Fees,"[""Arts""]",Arts,note,2 This fee is assessed once per year level for year 2-4 students registered in the B.A.Sc. Biomedical Engineering program. Students who register for an academic year without having advanced a program year will not be assessed.
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Faculty Fees,"[""Arts""]",Arts,note,3 These fees may be waived by the Faculty of Dentistry once students complete the program requirements for the Diploma in Clinical Specialty.
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Faculty Fees,"[""Arts""]",Arts,note,4 Doctor of Dental Medicine students in the International Dental Degree Completion Program pay the International rate for the Annual Clinic Fee.
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Faculty Fees,"[""Arts""]",Arts,note,5 This fee is assessed once per year level for all students registered in the Entry-to-Practice PharmD program.
